Postcode District,All usual residents,Males,Females
DN40,12299,6033,6266
DN41,6266,3067,3199
DN5,40864,20058,20806
DN6,31148,15288,15860
DN7,24610,13038,11572
DN8,17295,8398,8897
DN9,20018,9753,10265
DT1,19060,9215,9845
DT10,11841,5826,6015
DT11,30156,15305,14851
DT2,24826,12176,12650
DT3,23138,11267,11871
DT4,37293,18331,18962
DT5,12844,6797,6047
DT6,21559,10218,11341
DT7,5696,2628,3068
DT8,6000,2891,3109
DT9,20790,9965,10825
DY1,32131,15861,16270
DY10,35814,17714,18100
DY11,30077,14845,15232
DY12,12305,6129,6176
DY13,22209,10850,11359
DY14,8529,4279,4250
DY2,34461,16988,17473
DY3,33730,16449,17281
DY4,42846,21192,21654
DY5,41898,20776,21122
DY6,27489,13461,14028
DY7,8300,4011,4289
DY8,50737,24963,25774
DY9,30072,14761,15311
E1,70389,36783,33606
E10,43120,21750,21370
E11,54689,27664,27025
E12,42606,22387,20219
E13,47169,24462,22707
E14,82638,42838,39800
E15,51650,26642,25008
E16,45371,22746,22625
E17,103129,51599,51530
E18,19864,9657,10207
E1W,12428,6758,5670
E2,45811,23220,22591
E3,52371,26264,26107
E4,60357,29046,31311
E5,48492,23780,24712
E6,78790,41017,37773
E7,54133,29083,25050
E8,39260,19502,19758
E9,37768,18422,19346
EC1A,894,507,387
EC1M,2473,1326,1147
EC1N,2650,1397,1253
EC1R,4885,2564,2321
EC1V,12765,6513,6252
EC1Y,3767,1966,1801
EC2A,1229,735,494
EC2Y,3249,1727,1522
EC3R,227,149,78
EC4A,151,90,61
EC4V,595,357,238
EC4Y,320,196,124
EN1,44997,21637,23360
EN10,17036,8260,8776
EN11,21451,10515,10936
EN2,29709,14393,15316
EN3,57073,27216,29857
EN4,25578,12458,13120
EN5,38071,18205,19866
EN6,29010,13778,15232
EN7,22050,10687,11363
EN8,35826,17178,18648
EN9,23633,11572,12061
EX1,21521,10507,11014
EX10,17207,7964,9243
EX11,7795,3733,4062
EX12,9416,4390,5026
EX13,11329,5463,5866
EX14,20687,9952,10735
EX15,21313,10471,10842
EX16,32440,15878,16562
EX17,19539,9597,9942
EX18,3117,1531,1586
EX19,3525,1740,1785
EX2,40698,19669,21029
EX20,19966,9850,10116
EX21,4620,2279,2341
EX22,10745,5300,5445
EX23,15704,7629,8075
EX24,3789,1799,1990
EX3,4940,2267,2673
EX31,25475,12531,12944
EX32,23778,11498,12280
EX33,10224,4930,5294
EX34,17306,8421,8885
EX35,1647,791,856
EX36,8477,4103,4374
EX37,3362,1655,1707
EX38,8132,3920,4212
EX39,37163,18070,19093
EX4,54711,26744,27967
EX5,18568,8971,9597
EX6,13673,6665,7008
EX7,12432,5869,6563
EX8,37449,18142,19307
EX9,6763,3088,3675
FY1,33634,17445,16189
FY2,24559,11979,12580
FY3,31955,15442,16513
FY4,43664,21087,22577
FY5,44816,21383,23433
FY6,28003,13519,14484
FY7,25939,12656,13283
FY8,44053,21131,22922
GL1,34152,17402,16750
GL10,13953,6905,7048
GL11,18139,8949,9190
GL12,15045,7601,7444
GL13,5863,2917,2946
GL14,15722,7796,7926
GL15,20743,10158,10585
GL16,13381,6547,6834
GL17,11180,5536,5644
GL18,7493,3657,3836
GL19,9803,4806,4997
GL2,51819,25417,26402
GL20,28233,14055,14178
GL3,30492,14814,15678
GL4,47808,23346,24462
GL5,31040,15373,15667
GL50,22496,10917,11579
GL51,51520,25184,26336
GL52,43265,21059,22206
GL53,19755,9554,10201
GL54,22146,10733,11413
GL55,5422,2570,2852
GL56,8403,3999,4404
GL6,24460,11794,12666
GL7,42280,20616,21664
GL8,8541,4117,4424
GL9,2667,1320,1347
GU1,29169,14832,14337
GU10,22238,10920,11318
GU11,23292,11981,11311
GU12,31479,15605,15874
GU14,54994,27085,27909
GU15,34778,17467,17311
GU16,23767,11814,11953
GU17,11101,5553,5548
GU18,6791,3307,3484
GU19,5592,2791,2801
GU2,34172,17102,17070
GU20,4392,2185,2207
GU21,49738,24688,25050
GU22,33400,16679,16721
GU23,6869,3274,3595
GU24,17845,9327,8518
GU25,5448,2659,2789
GU26,7475,3583,3892
GU27,17725,8544,9181
GU28,6650,3188,3462
GU29,9094,4267,4827
GU3,11071,5382,5689
GU30,9081,4410,4671
GU31,11223,5383,5840
GU32,11969,5763,6206
GU33,8442,3998,4444
GU34,29783,14556,15227
GU35,23068,11512,11556
GU4,15894,7590,8304
GU46,14829,7243,7586
GU47,18862,9291,9571
GU5,11220,5350,5870
GU51,23604,11664,11940
GU52,15953,7835,8118
GU6,14204,6934,7270
GU7,22824,11362,11462
GU8,17648,8628,9020
GU9,29684,14413,15271
HA0,48358,24994,23364
HA1,39209,20001,19208
HA2,55268,27267,28001
HA3,69554,34305,35249
